"ISO3","Year","Region","country","LandArea","ArablePercent","Population","PopGrowth","RuralPopulation","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","LifeExpectancy","AgeDepRatioOld","CO2Emissions","GDP","GDPPerCapita","GDPPerCapGrowth","Inflation","TotalTrade","Exports","Imports","FDIIn","AgriEmployment","MobileCellSubscriptions","NaturalResourceRents","GovtExpenditures","PublicHealthExpend","PoliticalStability","RuleOfLaw","ControlOfCorruption","IncomeLevel","RuralLevel","UrbanLevel","PopGrowthLevel","EconGrowthLevel","TradeLevel","AgricultureLevel"
"BLR",2019,"Europe & Central Asia","Belarus",202965,28.1477101963393,9419758,-0.201786600970723,22.5449228147243,77.4550771852757,9.3,1.382,6,74.2268292682927,22.7212029935499,6.50202478662403,59040547731.7471,6267.73508743505,1.6513675093432,5.59815595039848,130.850406102184,65.0945839929757,65.7558221092078,1.976861708457,11.0571052693771,123.229810991965,1.66960534709783,16.8429795126774,4.12526941,73.1679864,43.2953313,48.1996906,"Upper middle income","Low","High","Low","Low","High","Low"
"BLZ",2019,"Latin America & Caribbean","Belize",22810,4.03331871985971,385829,1.46284533510266,57.0922377846677,42.9077622153323,19.335,2.142,5,72.577,6.60831235736012,1.03206342706225,2262557632.66642,5864.14611827109,2.74257530356437,0.187069385181424,102.441856907677,52.0189198848801,50.4229370227973,3.94384011758557,16.8604583830359,66.0704612665196,0.584709328866043,18.8183305235662,3.31428432,68.1731163,47.304396,46.3235149,"Upper middle income","High","Low","High","High","High","Low"
"BMU",2019,"North America","Bermuda",54,5.55555555555556,64107,0.431459657274573,0,100,8.375,1.383,5,81.251,27.1517178897484,4.71867346779603,6840850356.57848,106709.881238843,-0.124745932153232,NA,77.5601016506443,51.7434243981752,25.816677252469,0.0591344675296509,NA,104.512767716474,0,12.2567291689258,NA,82.5871481,71.9881106,71.7090468,"High income","Low","High","Low","Low","High",NA
"BOL",2019,"Latin America & Caribbean","Bolivia",1083300,4.84781279423982,11671386,1.40657823805422,30.2665013291613,69.7334986708387,22.257,2.688,6,67.82,9.04093200011477,1.88492609189688,37434651171.7885,3207.38695231128,0.0889440250061426,1.83954504969026,45.8209732749024,20.0474399352249,25.7735333396775,-0.44160551411852,25.1991880579003,100.14945954148,4.09529358747088,16.115250287981,4.89661789,53.0155277,35.5390215,31.1916865,"Lower middle income","Low","High","High","Low","Low","High"
"BRA",2019,"Latin America & Caribbean","Brazil",8358140,6.66583713601351,207455459,0.651994346081362,13.3202008915704,86.6797991084296,13.548,1.705,6,75.809,13.3105476119749,2.25869881785082,1819683217699.38,8771.44051292177,0.562970837578547,3.73297621216894,28.8902578698964,14.1229191913178,14.7673386785785,3.692673213156,8.87727798547265,97.3747376780285,3.21717303299592,19.9835812871624,3.91702151,53.5594912,50.3183068,40.3095121,"Upper middle income","Low","High","Low","Low","Low","Low"
"BRB",2019,"Latin America & Caribbean","Barbados",430,16.2790697674419,281207,0.176538259610281,40.7158859354514,59.2841140645486,11.446,1.715,5,76.495,21.1897909484803,3.08882780300633,5817511077.59999,20687.6467427909,0.0642920087754248,1.67662473276988,NA,NA,NA,3.49246359988213,2.82767700409596,117.111593950364,0.230547661622418,NA,2.54682422,82.5642331,70.4681921,71.033937,"High income","High","Low","Low","Low",NA,"Low"
"BRN",2019,"East Asia & Pacific","Brunei Darussalam",5270,0.759013282732448,442680,1.10621350885567,25.2076688216327,74.7923311783673,14.572,1.819,6,75.049,7.26787865241093,17.1760639739767,13278735842.9555,29996.2407223175,2.72616506285996,-0.390522069165529,108.509658357959,57.946040538108,50.5636178198506,2.77118007919324,1.95358268413174,129.845260684919,20.8493177212138,25.0403962194955,2.10503411,84.6510273,61.9307848,71.8039492,"High income","Low","High","High","High","High","Low"
"BTN",2019,"South Asia","Bhutan",38140,2.46460409019402,764824,0.66444642692507,60.9253176594854,39.0746823405146,12.421,1.448,6,72.005,8.47969895843659,2.36171982050772,2651940022.25787,3467.38598979356,5.05479153201512,2.72643037388832,76.1235167041505,31.4575032617598,44.6660134423907,0.475617042344246,51.125905985782,95.3472955869586,2.1900698281611,19.1177473889876,2.4829967,85.7792773,68.3559345,77.4890271,"Lower middle income","High","Low","Low","High","High","High"
"BWA",2019,"Sub-Saharan Africa","Botswana",566730,0.458772254865633,2332083,1.42262847077389,33.6728305154536,66.3271694845464,25.751,2.906,6,67.167,6.11521264923905,3.14825844534693,16212015762.4196,6951.73189051146,1.57639094067899,2.77286442863321,83.0929813601175,37.0878176552067,46.0051637049108,0.559653498041763,14.8886521327687,160.661520194607,0.656053805525875,31.6509036227899,4.37294102,85.6050279,64.7424819,64.499753,"Upper middle income","Low","High","High","Low","High","Low"
"CAF",2019,"Sub-Saharan Africa","Central African Republic",622980,2.88933834151979,4944703,1.34469255324203,58.2199569592668,41.7800430407332,44.108,6.09,6,31.53,4.48551885818785,0.0611563525655636,1986909345.61394,401.82582161435,1.72290159793216,2.68537355266787,50.0658000014868,15.7553800018083,34.3104199996784,1.1525297989583,63.620639457259,32.2626859489842,9.81112301862311,8.0446400022651,0.81889474,34.2446868,29.7030372,23.5361459,"Low income","High","Low","High","High","Low","High"
